split,model,query_accuracy,pairwise_accuracy,mrr,pair_count,query_cases
test,random,0.4924078091106291,0.24439624005784527,0.7462039045553145,1383,2766
test,bm25,0.48445408532176426,0.018076644974692697,0.7422270426608821,1383,2766
test,tfidf,0.48445408532176426,0.04338394793926247,0.7422270426608821,1383,2766
test,sbert,0.5234996384671005,0.07086044830079537,0.7617498192335502,1383,2766
validation,random,0.5088888888888888,0.24888888888888888,0.7544444444444445,225,450
validation,bm25,0.4911111111111111,0.022222222222222223,0.7455555555555555,225,450
validation,tfidf,0.5022222222222222,0.06222222222222222,0.7511111111111111,225,450
validation,sbert,0.5222222222222223,0.08444444444444445,0.7611111111111111,225,450
